# lambda albedo      g      Cext         K
   416.9 0.2282 0.8574 4.398e-22 6.216e+04
   419.3 0.2278 0.8561 4.414e-22 6.241e+04
   421.7 0.2273 0.8548 4.431e-22 6.270e+04
   424.1 0.2267 0.8534 4.450e-22 6.301e+04
   426.6 0.2261 0.8521 4.470e-22 6.334e+04
   429.0 0.2252 0.8507 4.495e-22 6.376e+04
   431.5 0.2242 0.8494 4.523e-22 6.424e+04
   434.0 0.2232 0.8480 4.552e-22 6.474e+04
   436.5 0.2222 0.8467 4.581e-22 6.524e+04
   439.0 0.2211 0.8453 4.611e-22 6.575e+04
   441.6 0.2201 0.8439 4.641e-22 6.627e+04
   444.1 0.2192 0.8426 4.668e-22 6.674e+04
   446.7 0.2185 0.8412 4.692e-22 6.714e+04
   449.3 0.2178 0.8399 4.717e-22 6.756e+04
   451.9 0.2170 0.8385 4.742e-22 6.798e+04
   454.5 0.2163 0.8371 4.768e-22 6.841e+04
   457.1 0.2156 0.8357 4.794e-22 6.885e+04
   459.7 0.2148 0.8343 4.821e-22 6.931e+04
   462.4 0.2139 0.8328 4.853e-22 6.985e+04
   465.1 0.2129 0.8313 4.886e-22 7.041e+04
   467.7 0.2120 0.8298 4.919e-22 7.097e+04
   470.4 0.2110 0.8283 4.953e-22 7.155e+04
   473.2 0.2101 0.8268 4.987e-22 7.213e+04
   475.9 0.2092 0.8253 5.023e-22 7.273e+04
   478.6 0.2083 0.8237 5.057e-22 7.330e+04
   481.4 0.2075 0.8221 5.090e-22 7.385e+04
   484.2 0.2067 0.8206 5.123e-22 7.442e+04
   487.0 0.2059 0.8190 5.157e-22 7.498e+04
   489.8 0.2052 0.8173 5.192e-22 7.556e+04
   492.6 0.2044 0.8157 5.227e-22 7.614e+04
   495.5 0.2037 0.8140 5.263e-22 7.673e+04
   498.3 0.2029 0.8123 5.299e-22 7.734e+04
   501.2 0.2022 0.8105 5.337e-22 7.796e+04
   504.1 0.2015 0.8087 5.376e-22 7.861e+04
   507.0 0.2007 0.8068 5.416e-22 7.926e+04
   509.9 0.2000 0.8049 5.457e-22 7.993e+04
   512.9 0.1993 0.8030 5.499e-22 8.062e+04
   515.8 0.1986 0.8010 5.542e-22 8.132e+04
   518.8 0.1979 0.7989 5.585e-22 8.202e+04
   521.8 0.1973 0.7968 5.630e-22 8.275e+04
   524.8 0.1966 0.7946 5.676e-22 8.350e+04
   527.8 0.1960 0.7923 5.725e-22 8.427e+04
   530.9 0.1953 0.7900 5.775e-22 8.508e+04
   533.9 0.1947 0.7875 5.827e-22 8.592e+04
   537.0 0.1941 0.7850 5.881e-22 8.678e+04
   540.1 0.1932 0.7827 5.937e-22 8.770e+04
   543.3 0.1922 0.7805 5.995e-22 8.868e+04
   546.4 0.1913 0.7780 6.057e-22 8.969e+04
   549.5 0.1905 0.7753 6.122e-22 9.075e+04
   552.7 0.1898 0.7723 6.191e-22 9.183e+04
   555.9 0.1892 0.7692 6.262e-22 9.295e+04
   559.1 0.1888 0.7658 6.336e-22 9.411e+04
   562.3 0.1884 0.7621 6.412e-22 9.529e+04
   565.6 0.1891 0.7576 6.482e-22 9.624e+04
   568.9 0.1903 0.7523 6.551e-22 9.713e+04
   572.1 0.1914 0.7468 6.629e-22 9.815e+04
   575.4 0.1923 0.7410 6.714e-22 9.928e+04
   578.8 0.1931 0.7351 6.806e-22 1.005e+05
   582.1 0.1873 0.7419 7.011e-22 1.043e+05
   585.5 0.1859 0.7353 7.193e-22 1.072e+05
   588.8 0.1845 0.7286 7.381e-22 1.102e+05
   592.2 0.1824 0.7215 7.606e-22 1.138e+05
   595.7 0.1799 0.7143 7.860e-22 1.180e+05
   599.1 0.1772 0.7074 8.119e-22 1.223e+05
   602.6 0.1746 0.7008 8.383e-22 1.267e+05
   606.0 0.1719 0.6944 8.652e-22 1.312e+05
   609.5 0.1693 0.6882 8.927e-22 1.358e+05
   613.1 0.1667 0.6821 9.209e-22 1.405e+05
   616.6 0.1641 0.6763 9.496e-22 1.453e+05
   620.2 0.1616 0.6706 9.788e-22 1.503e+05
   623.7 0.1587 0.6671 1.005e-21 1.548e+05
   627.3 0.1560 0.6638 1.030e-21 1.592e+05
   631.0 0.1533 0.6608 1.055e-21 1.636e+05
   634.6 0.1508 0.6580 1.079e-21 1.678e+05
   638.3 0.1484 0.6555 1.103e-21 1.719e+05
   641.9 0.1461 0.6533 1.125e-21 1.760e+05
   645.7 0.1438 0.6512 1.147e-21 1.798e+05
   649.4 0.1417 0.6494 1.168e-21 1.836e+05
   653.1 0.1397 0.6478 1.188e-21 1.871e+05
   656.9 0.1379 0.6463 1.206e-21 1.904e+05
   660.7 0.1362 0.6448 1.224e-21 1.936e+05
   664.5 0.1346 0.6435 1.241e-21 1.966e+05
   668.3 0.1333 0.6422 1.255e-21 1.992e+05
   672.2 0.1318 0.6411 1.271e-21 2.020e+05
   676.1 0.1303 0.6400 1.286e-21 2.047e+05
   680.0 0.1289 0.6391 1.300e-21 2.074e+05
   683.9 0.1275 0.6382 1.315e-21 2.100e+05
   687.9 0.1262 0.6375 1.328e-21 2.125e+05
   691.8 0.1250 0.6367 1.341e-21 2.149e+05
   695.8 0.1239 0.6359 1.353e-21 2.171e+05
   699.8 0.1229 0.6352 1.364e-21 2.190e+05
   703.9 0.1221 0.6345 1.373e-21 2.207e+05
   707.9 0.1214 0.6339 1.380e-21 2.219e+05
   712.0 0.1209 0.6333 1.384e-21 2.228e+05
   716.1 0.1207 0.6328 1.386e-21 2.232e+05
   720.3 0.1206 0.6324 1.386e-21 2.231e+05
   724.4 0.1208 0.6319 1.382e-21 2.225e+05
   728.6 0.1212 0.6316 1.376e-21 2.214e+05
   732.8 0.1256 0.6128 1.411e-21 2.259e+05
   737.1 0.1262 0.6141 1.395e-21 2.232e+05
   741.3 0.1270 0.6155 1.377e-21 2.201e+05
   745.6 0.1280 0.6170 1.357e-21 2.167e+05
   749.9 0.1290 0.6185 1.336e-21 2.131e+05
   754.2 0.1302 0.6202 1.314e-21 2.092e+05
   758.6 0.1314 0.6219 1.291e-21 2.053e+05
   763.0 0.1327 0.6238 1.268e-21 2.013e+05
   767.4 0.1340 0.6258 1.245e-21 1.973e+05
   771.8 0.1353 0.6279 1.221e-21 1.934e+05
   776.2 0.1367 0.6297 1.199e-21 1.895e+05
   780.7 0.1385 0.6305 1.178e-21 1.858e+05
   785.2 0.1403 0.6314 1.158e-21 1.822e+05
   789.8 0.1421 0.6323 1.138e-21 1.788e+05
   794.3 0.1439 0.6332 1.119e-21 1.754e+05
   798.9 0.1456 0.6341 1.101e-21 1.722e+05
   803.5 0.1473 0.6350 1.083e-21 1.691e+05
   808.2 0.1490 0.6359 1.066e-21 1.662e+05
   812.8 0.1506 0.6368 1.050e-21 1.633e+05
   817.5 0.1522 0.6378 1.035e-21 1.606e+05
   822.2 0.1537 0.6387 1.020e-21 1.580e+05
   827.0 0.1551 0.6397 1.005e-21 1.555e+05
   831.8 0.1564 0.6406 9.928e-22 1.534e+05
   836.6 0.1575 0.6415 9.808e-22 1.513e+05
   841.4 0.1586 0.6423 9.694e-22 1.494e+05
   846.3 0.1596 0.6431 9.587e-22 1.475e+05
   851.1 0.1605 0.6439 9.485e-22 1.458e+05
   856.1 0.1613 0.6446 9.389e-22 1.442e+05
   861.0 0.1621 0.6453 9.297e-22 1.426e+05
   866.0 0.1628 0.6460 9.211e-22 1.412e+05
   871.0 0.1634 0.6467 9.129e-22 1.398e+05
   876.0 0.1640 0.6473 9.051e-22 1.385e+05
   881.0 0.1645 0.6479 8.977e-22 1.373e+05
   886.1 0.1650 0.6482 8.909e-22 1.362e+05
   891.3 0.1665 0.6464 8.860e-22 1.352e+05
   896.4 0.1680 0.6443 8.816e-22 1.343e+05
   901.6 0.1696 0.6419 8.776e-22 1.334e+05
   906.8 0.1713 0.6392 8.739e-22 1.326e+05
   912.0 0.1730 0.6364 8.704e-22 1.318e+05
   917.3 0.1747 0.6350 8.643e-22 1.306e+05
   922.6 0.1763 0.6338 8.578e-22 1.294e+05
   927.9 0.1779 0.6328 8.509e-22 1.281e+05
   933.3 0.1796 0.6321 8.438e-22 1.267e+05
   938.6 0.1811 0.6314 8.368e-22 1.255e+05
   944.1 0.1826 0.6308 8.298e-22 1.242e+05
   949.5 0.1841 0.6304 8.227e-22 1.229e+05
   955.0 0.1855 0.6301 8.156e-22 1.216e+05
   960.5 0.1870 0.6298 8.085e-22 1.204e+05
   966.1 0.1884 0.6296 8.014e-22 1.191e+05
   971.6 0.1899 0.6294 7.944e-22 1.178e+05
   977.2 0.1913 0.6294 7.873e-22 1.166e+05
   982.9 0.1927 0.6293 7.805e-22 1.154e+05
   988.6 0.1942 0.6293 7.736e-22 1.141e+05
   994.3 0.1956 0.6292 7.669e-22 1.129e+05
  1000.0 0.1973 0.6292 7.593e-22 1.116e+05
  1006.0 0.1990 0.6290 7.519e-22 1.103e+05
  1012.0 0.2008 0.6289 7.444e-22 1.089e+05
  1017.0 0.2026 0.6289 7.367e-22 1.076e+05
  1023.0 0.2045 0.6290 7.289e-22 1.062e+05
  1029.0 0.2064 0.6295 7.205e-22 1.047e+05
  1035.0 0.2083 0.6302 7.119e-22 1.032e+05
  1041.0 0.2101 0.6310 7.033e-22 1.017e+05
  1047.0 0.2120 0.6320 6.948e-22 1.003e+05
  1053.0 0.2137 0.6330 6.865e-22 9.884e+04
  1059.0 0.2153 0.6340 6.786e-22 9.751e+04
  1065.0 0.2168 0.6351 6.709e-22 9.621e+04
  1072.0 0.2183 0.6362 6.634e-22 9.494e+04
  1078.0 0.2198 0.6373 6.560e-22 9.371e+04
  1084.0 0.2214 0.6382 6.488e-22 9.250e+04
  1090.0 0.2229 0.6391 6.418e-22 9.132e+04
  1096.0 0.2245 0.6399 6.350e-22 9.016e+04
  1103.0 0.2261 0.6407 6.283e-22 8.903e+04
  1109.0 0.2276 0.6414 6.218e-22 8.793e+04
  1116.0 0.2292 0.6421 6.154e-22 8.685e+04
  1122.0 0.2308 0.6428 6.091e-22 8.578e+04
  1128.0 0.2324 0.6434 6.029e-22 8.473e+04
  1135.0 0.2341 0.6441 5.968e-22 8.370e+04
  1142.0 0.2357 0.6447 5.909e-22 8.269e+04
  1148.0 0.2373 0.6452 5.850e-22 8.169e+04
  1155.0 0.2390 0.6457 5.792e-22 8.071e+04
  1161.0 0.2407 0.6461 5.736e-22 7.974e+04
  1168.0 0.2424 0.6465 5.680e-22 7.879e+04
  1175.0 0.2441 0.6468 5.626e-22 7.786e+04
  1182.0 0.2459 0.6472 5.572e-22 7.693e+04
  1189.0 0.2476 0.6475 5.519e-22 7.602e+04
  1195.0 0.2494 0.6477 5.466e-22 7.513e+04
  1202.0 0.2512 0.6480 5.415e-22 7.424e+04
  1209.0 0.2530 0.6482 5.364e-22 7.337e+04
  1216.0 0.2548 0.6484 5.315e-22 7.252e+04
  1223.0 0.2566 0.6485 5.266e-22 7.168e+04
