# lambda albedo      g      Cext         K
   691.8 0.2481 0.6078 6.246e-22 1.339e+05
   695.8 0.2474 0.6069 6.266e-22 1.345e+05
   699.8 0.2467 0.6061 6.283e-22 1.350e+05
   703.9 0.2462 0.6053 6.296e-22 1.354e+05
   707.9 0.2457 0.6045 6.306e-22 1.357e+05
   712.0 0.2454 0.6038 6.312e-22 1.359e+05
   716.1 0.2451 0.6031 6.314e-22 1.360e+05
   720.3 0.2450 0.6025 6.313e-22 1.360e+05
   724.4 0.2449 0.6019 6.309e-22 1.359e+05
   728.6 0.2449 0.6013 6.302e-22 1.357e+05
   732.8 0.2483 0.5828 6.657e-22 1.427e+05
   737.1 0.2485 0.5838 6.606e-22 1.416e+05
   741.3 0.2487 0.5849 6.553e-22 1.404e+05
   745.6 0.2489 0.5861 6.497e-22 1.392e+05
   749.9 0.2491 0.5873 6.439e-22 1.379e+05
   754.2 0.2494 0.5886 6.380e-22 1.366e+05
   758.6 0.2496 0.5900 6.320e-22 1.353e+05
   763.0 0.2497 0.5915 6.258e-22 1.339e+05
   767.4 0.2498 0.5931 6.194e-22 1.325e+05
   771.8 0.2499 0.5948 6.130e-22 1.312e+05
   776.2 0.2502 0.5962 6.070e-22 1.298e+05
   780.7 0.2510 0.5967 6.023e-22 1.287e+05
   785.2 0.2518 0.5972 5.976e-22 1.275e+05
   789.8 0.2527 0.5976 5.930e-22 1.264e+05
   794.3 0.2535 0.5980 5.885e-22 1.253e+05
   798.9 0.2544 0.5984 5.839e-22 1.242e+05
   803.5 0.2552 0.5988 5.795e-22 1.231e+05
   808.2 0.2560 0.5993 5.750e-22 1.220e+05
   812.8 0.2568 0.5997 5.707e-22 1.210e+05
   817.5 0.2576 0.6001 5.664e-22 1.199e+05
   822.2 0.2583 0.6006 5.621e-22 1.189e+05
   827.0 0.2590 0.6010 5.579e-22 1.179e+05
   831.8 0.2593 0.6014 5.545e-22 1.172e+05
   836.6 0.2595 0.6017 5.512e-22 1.164e+05
   841.4 0.2596 0.6020 5.481e-22 1.157e+05
   846.3 0.2597 0.6022 5.451e-22 1.151e+05
   851.1 0.2596 0.6025 5.423e-22 1.145e+05
   856.1 0.2595 0.6027 5.396e-22 1.140e+05
   861.0 0.2593 0.6029 5.370e-22 1.135e+05
   866.0 0.2591 0.6031 5.346e-22 1.130e+05
   871.0 0.2587 0.6033 5.323e-22 1.125e+05
   876.0 0.2583 0.6035 5.301e-22 1.121e+05
   881.0 0.2578 0.6036 5.280e-22 1.118e+05
   886.1 0.2574 0.6035 5.262e-22 1.115e+05
   891.3 0.2583 0.6014 5.263e-22 1.113e+05
   896.4 0.2593 0.5990 5.266e-22 1.113e+05
   901.6 0.2606 0.5964 5.272e-22 1.112e+05
   906.8 0.2619 0.5934 5.280e-22 1.112e+05
   912.0 0.2634 0.5904 5.289e-22 1.111e+05
   917.3 0.2649 0.5887 5.275e-22 1.106e+05
   922.6 0.2665 0.5872 5.256e-22 1.100e+05
   927.9 0.2681 0.5859 5.233e-22 1.093e+05
   933.3 0.2697 0.5848 5.207e-22 1.085e+05
   938.6 0.2712 0.5838 5.181e-22 1.077e+05
   944.1 0.2727 0.5830 5.154e-22 1.069e+05
   949.5 0.2742 0.5822 5.125e-22 1.061e+05
   955.0 0.2756 0.5815 5.096e-22 1.053e+05
   960.5 0.2770 0.5809 5.066e-22 1.045e+05
   966.1 0.2785 0.5803 5.036e-22 1.036e+05
   971.6 0.2799 0.5798 5.005e-22 1.028e+05
   977.2 0.2813 0.5793 4.974e-22 1.020e+05
   982.9 0.2827 0.5788 4.943e-22 1.011e+05
   988.6 0.2841 0.5784 4.911e-22 1.003e+05
   994.3 0.2856 0.5781 4.880e-22 9.944e+04
  1000.0 0.2871 0.5777 4.848e-22 9.857e+04
  1006.0 0.2888 0.5772 4.816e-22 9.770e+04
  1012.0 0.2905 0.5768 4.783e-22 9.680e+04
  1017.0 0.2922 0.5765 4.748e-22 9.586e+04
  1023.0 0.2940 0.5764 4.713e-22 9.490e+04
  1029.0 0.2959 0.5766 4.671e-22 9.381e+04
  1035.0 0.2978 0.5770 4.628e-22 9.270e+04
  1041.0 0.2996 0.5776 4.585e-22 9.159e+04
  1047.0 0.3014 0.5782 4.542e-22 9.050e+04
  1053.0 0.3030 0.5789 4.500e-22 8.947e+04
  1059.0 0.3042 0.5797 4.461e-22 8.853e+04
  1065.0 0.3054 0.5805 4.423e-22 8.762e+04
  1072.0 0.3065 0.5813 4.385e-22 8.674e+04
  1078.0 0.3076 0.5821 4.349e-22 8.590e+04
