# lambda albedo      g      Cext         K
   348.7 0.2894 0.8961 3.930e-22 4.925e+04
   350.8 0.2888 0.8953 3.942e-22 4.944e+04
   352.8 0.2882 0.8945 3.953e-22 4.963e+04
   354.8 0.2875 0.8937 3.965e-22 4.983e+04
   356.9 0.2867 0.8930 3.979e-22 5.005e+04
   358.9 0.2861 0.8922 3.990e-22 5.024e+04
   361.0 0.2855 0.8915 4.001e-22 5.042e+04
   363.1 0.2850 0.8907 4.010e-22 5.057e+04
   365.2 0.2847 0.8900 4.017e-22 5.068e+04
   367.3 0.2848 0.8893 4.019e-22 5.069e+04
   369.4 0.2849 0.8885 4.020e-22 5.070e+04
   371.5 0.2851 0.8878 4.020e-22 5.069e+04
   373.7 0.2853 0.8870 4.020e-22 5.068e+04
   375.8 0.2855 0.8862 4.020e-22 5.065e+04
   378.0 0.2856 0.8853 4.023e-22 5.069e+04
   380.2 0.2856 0.8844 4.027e-22 5.074e+04
   382.4 0.2855 0.8835 4.032e-22 5.080e+04
   384.6 0.2855 0.8826 4.037e-22 5.088e+04
   386.8 0.2854 0.8816 4.043e-22 5.096e+04
   389.0 0.2852 0.8806 4.050e-22 5.105e+04
   391.3 0.2851 0.8796 4.056e-22 5.115e+04
   393.6 0.2849 0.8786 4.064e-22 5.125e+04
   395.8 0.2847 0.8776 4.072e-22 5.137e+04
   398.1 0.2844 0.8766 4.080e-22 5.149e+04
   400.4 0.2842 0.8755 4.088e-22 5.161e+04
   402.7 0.2839 0.8745 4.097e-22 5.174e+04
   405.0 0.2837 0.8734 4.106e-22 5.188e+04
   407.4 0.2834 0.8724 4.116e-22 5.202e+04
   409.7 0.2830 0.8713 4.126e-22 5.217e+04
   412.1 0.2827 0.8702 4.136e-22 5.232e+04
   414.5 0.2824 0.8690 4.146e-22 5.247e+04
   416.9 0.2821 0.8678 4.156e-22 5.262e+04
   419.3 0.2818 0.8667 4.168e-22 5.279e+04
   421.7 0.2814 0.8655 4.180e-22 5.297e+04
   424.1 0.2810 0.8643 4.192e-22 5.316e+04
   426.6 0.2805 0.8630 4.206e-22 5.336e+04
   429.0 0.2799 0.8618 4.221e-22 5.361e+04
   431.5 0.2792 0.8606 4.239e-22 5.389e+04
   434.0 0.2785 0.8594 4.257e-22 5.417e+04
   436.5 0.2777 0.8582 4.275e-22 5.445e+04
   439.0 0.2770 0.8570 4.293e-22 5.474e+04
   441.6 0.2762 0.8557 4.312e-22 5.504e+04
   444.1 0.2756 0.8545 4.329e-22 5.530e+04
   446.7 0.2751 0.8532 4.344e-22 5.554e+04
   449.3 0.2746 0.8519 4.360e-22 5.578e+04
   451.9 0.2741 0.8507 4.376e-22 5.602e+04
   454.5 0.2736 0.8494 4.393e-22 5.627e+04
   457.1 0.2731 0.8480 4.409e-22 5.652e+04
   459.7 0.2726 0.8467 4.427e-22 5.678e+04
   462.4 0.2720 0.8454 4.446e-22 5.709e+04
   465.1 0.2713 0.8440 4.466e-22 5.739e+04
   467.7 0.2707 0.8426 4.487e-22 5.771e+04
   470.4 0.2701 0.8412 4.507e-22 5.802e+04
   473.2 0.2695 0.8398 4.529e-22 5.835e+04
   475.9 0.2688 0.8383 4.550e-22 5.867e+04
   478.6 0.2683 0.8369 4.571e-22 5.899e+04
   481.4 0.2678 0.8354 4.591e-22 5.929e+04
   484.2 0.2673 0.8339 4.612e-22 5.960e+04
   487.0 0.2668 0.8323 4.634e-22 5.992e+04
   489.8 0.2664 0.8307 4.655e-22 6.023e+04
   492.6 0.2659 0.8291 4.677e-22 6.055e+04
   495.5 0.2655 0.8275 4.700e-22 6.088e+04
   498.3 0.2651 0.8259 4.722e-22 6.121e+04
